RIC,Date,Close,Exp,CRIC
SCFQ0,2000-01-17,19750.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-01-18,19886.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-01-19,19954.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-01-20,19960.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-01-21,19950.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-01-24,19986.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-01-25,19831.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-01-26,19773.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-01-27,19773.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-01-28,19880.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-01-31,19693.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-02-01,19791.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-02-02,19785.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-02-14,19901.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-02-15,19892.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-02-16,19590.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-02-17,19630.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-02-18,19670.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-02-21,19611.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-02-22,19440.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-02-23,19530.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-02-24,19660.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-02-25,19600.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-02-28,19400.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-02-29,18870.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-03-01,18910.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-03-02,18910.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-03-03,18910.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-03-06,18930.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-03-07,18870.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-03-08,18510.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-03-09,18470.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-03-10,18650.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-03-13,18530.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-03-14,18460.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-03-15,18670.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-03-16,18800.0,2000-08-15 00:00:00,2000Q
SCFQ0,2000-03-17,18930.0,2000-08-15 00:00:00,2000Q
