RIC,Trade Date,Open,High,Low,Last,Volume,Open Interest,Settlement Price,Universal Close Price,Expiration Date
SCFc6,23-02-2000,19550,19560,19500,19530,198,2956,19530,19530,
SCFc6,24-02-2000,19650,19680,19650,19660,808,3330,19660,19660,
SCFc6,25-02-2000,19600,19640,19590,19640,862,3980,19600,19600,
SCFc6,28-02-2000,19390,19450,19380,19450,2658,5184,19400,19400,
SCFc6,29-02-2000,18830,18910,18820,18890,1758,6292,18870,18870,
SCFc6,01-03-2000,18930,18970,18850,18880,1848,7808,18910,18910,
SCFc6,02-03-2000,18920,18950,18890,18910,2158,9134,18910,18910,
SCFc6,03-03-2000,18900,18940,18900,18900,2872,11484,18910,18910,
SCFc6,06-03-2000,18950,18950,18890,18890,2670,11880,18930,18930,
SCFc6,07-03-2000,18930,18930,18850,18870,1966,12386,18870,18870,
SCFc6,08-03-2000,18720,18720,18420,18420,8454,15766,18510,18510,
SCFc6,09-03-2000,18460,18500,18430,18460,3146,16404,18470,18470,
SCFc6,10-03-2000,18600,18700,18590,18690,7502,17372,18650,18650,
SCFc6,13-03-2000,18550,18570,18500,18530,4870,18866,18530,18530,
SCFc6,14-03-2000,18550,18560,18440,18470,4900,20332,18460,18460,
SCFc6,15-03-2000,18650,18710,18630,18660,9362,24434,18670,18670,
SCFc6,16-03-2000,18950,19000,18950,18970,114,1218,18960,18960,
SCFc6,17-03-2000,19110,19120,19060,19060,126,1288,19100,19100,
SCFc6,20-03-2000,19030,19080,19030,19050,118,1310,19060,19060,
SCFc6,21-03-2000,18940,18940,18910,18940,42,1320,18920,18920,
SCFc6,22-03-2000,19060,19110,19060,19100,82,1382,19090,19090,
SCFc6,23-03-2000,19040,19040,18920,18920,164,1480,18950,18950,
SCFc6,24-03-2000,18990,18990,18930,18940,314,1666,18950,18950,
SCFc6,27-03-2000,18830,18900,18820,18900,290,1724,18840,18840,
SCFc6,28-03-2000,18800,18810,18750,18810,466,1802,18780,18780,
SCFc6,29-03-2000,18820,18880,18810,18880,174,1854,18850,18850,
SCFc6,30-03-2000,18900,18930,18860,18860,330,1930,18890,18890,
SCFc6,31-03-2000,18900,18920,18850,18860,330,2040,18880,18880,
SCFc6,03-04-2000,18800,18850,18750,18850,382,2238,18810,18810,
SCFc6,04-04-2000,18810,18820,18760,18770,1278,3210,18790,18790,
SCFc6,05-04-2000,18640,18640,18400,18470,1934,3482,18450,18450,
SCFc6,06-04-2000,18460,18590,18320,18340,1668,4136,18490,18490,
SCFc6,07-04-2000,18210,18210,17940,18040,5898,7004,17970,17970,
SCFc6,10-04-2000,18090,18140,18040,18120,7452,10614,18090,18090,
SCFc6,11-04-2000,18150,18180,18130,18160,3936,12262,18150,18150,
SCFc6,12-04-2000,18200,18230,18010,18070,4960,12786,18160,18160,
SCFc6,13-04-2000,18120,18120,18000,18070,4982,14088,18030,18030,
SCFc6,14-04-2000,17970,17970,17900,17930,5500,16514,17920,17920,
SCFc6,17-04-2000,18000,18000,17800,17870,58,106,17870,17870,
SCFc6,18-04-2000,18150,18150,18050,18060,26,132,18060,18060,
SCFc6,19-04-2000,18160,18250,18160,18230,824,662,18220,18220,
SCFc6,20-04-2000,18120,18140,18050,18110,516,1054,18100,18100,
SCFc6,21-04-2000,18100,18160,18100,18160,24,1066,18150,18150,
SCFc6,24-04-2000,18180,18210,18170,18170,150,1170,18180,18180,
SCFc6,25-04-2000,18190,18240,18130,18130,402,1228,18170,18170,
SCFc6,26-04-2000,18500,18510,18460,18510,2018,2270,18470,18470,
SCFc6,27-04-2000,18420,18450,18390,18450,1270,2894,18420,18420,
SCFc6,28-04-2000,18500,18530,18470,18500,3016,5206,18500,18500,
SCFc6,08-05-2000,19020,19020,18860,18880,3796,7180,18900,18900,
SCFc6,09-05-2000,18840,18840,18750,18760,1850,8048,18780,18780,
SCFc6,10-05-2000,18820,18850,18800,18820,2486,9236,18820,18820,
SCFc6,11-05-2000,18650,18650,18540,18550,3582,10440,18590,18590,
SCFc6,12-05-2000,18680,18700,18630,18700,4030,11812,18660,18660,
SCFc6,15-05-2000,18910,18920,18820,18850,10702,18248,18860,18860,
SCFc6,16-05-2000,18930,18980,18930,18980,1668,1718,18960,18960,
SCFc6,17-05-2000,19050,19060,18960,18960,66,1778,19020,19020,
SCFc6,18-05-2000,18940,18940,18860,18870,208,1776,18927,18927,
SCFc6,19-05-2000,18850,18910,18850,18900,208,1912,18880,18880,
SCFc6,22-05-2000,18850,18880,18840,18860,1200,2952,18860,18860,
SCFc6,23-05-2000,18800,18800,18720,18740,642,3420,18730,18730,
SCFc6,24-05-2000,18710,18930,18700,18910,1108,4326,18870,18870,
SCFc6,25-05-2000,18750,18850,18750,18810,136,4258,18820,18820,
SCFc6,26-05-2000,18720,18720,18680,18710,398,4524,18690,18690,
SCFc6,29-05-2000,18700,18700,18670,18700,486,4972,18670,18670,
SCFc6,30-05-2000,18620,18670,18580,18670,856,5658,18640,18640,
SCFc6,31-05-2000,18390,18490,18350,18350,4294,8036,18420,18420,
SCFc6,01-06-2000,18500,18530,18490,18490,2344,9260,18510,18510,
SCFc6,02-06-2000,18470,18530,18460,18530,2382,10736,18490,18490,
SCFc6,05-06-2000,18510,18510,18300,18320,5452,12590,18330,18330,
SCFc6,06-06-2000,18390,18440,18390,18440,2296,13608,18430,18430,
SCFc6,07-06-2000,18490,18490,18360,18380,1468,14364,18382,18382,
SCFc6,08-06-2000,18200,18300,18200,18280,11046,19020,18260,18260,
SCFc6,09-06-2000,18350,18360,18320,18340,3196,20022,18340,18340,
SCFc6,12-06-2000,18270,18340,18270,18300,1738,20544,18310,18310,
SCFc6,13-06-2000,18270,18330,18250,18260,5422,23124,18280,18280,
SCFc6,14-06-2000,18380,18450,18360,18450,5108,24614,18390,18390,
SCFc6,15-06-2000,18580,18580,18530,18550,7190,25874,18540,18540,
SCFc6,16-06-2000,,,,18680,0,30,18650,18650,
SCFc6,19-06-2000,18780,18780,18700,18730,288,278,18750,18750,
SCFc6,20-06-2000,18750,18750,18700,18710,184,384,18709,18709,
SCFc6,21-06-2000,18670,18670,18620,18630,410,648,18629,18629,
SCFc6,22-06-2000,18680,18700,18680,18700,72,704,18680,18680,
SCFc6,23-06-2000,18540,18590,18530,18560,328,750,18550,18550,
SCFc6,26-06-2000,18420,18500,18420,18490,840,1086,18480,18480,
SCFc6,27-06-2000,18620,18640,18600,18610,458,1306,18610,18610,
SCFc6,28-06-2000,18480,18510,18480,18500,698,1828,18500,18500,
SCFc6,29-06-2000,18550,18570,18530,18550,1246,2696,18540,18540,
SCFc6,30-06-2000,18490,18530,18470,18520,818,3062,18500,18500,
SCFc6,03-07-2000,18530,18530,18450,18470,622,3238,18480,18480,
SCFc6,04-07-2000,18600,18600,18450,18540,330,3296,18510,18510,
SCFc6,05-07-2000,18480,18610,18480,18590,546,3628,18560,18560,
SCFc6,06-07-2000,18570,18640,18570,18610,2500,4866,18600,18600,
SCFc6,07-07-2000,18480,18490,18440,18450,4368,7294,18460,18460,
SCFc6,10-07-2000,18500,18500,18440,18440,808,7878,18460,18460,
SCFc6,11-07-2000,18550,18560,18520,18530,2080,8640,18530,18530,
SCFc6,12-07-2000,18540,18560,18510,18540,944,8996,18530,18530,
SCFc6,13-07-2000,18600,18630,18580,18620,5346,10320,18600,18600,
SCFc6,14-07-2000,18590,18590,18560,18590,1594,11146,18582,18582,
SCFc6,17-07-2000,18700,18700,18680,18700,72,3412,18690,18690,
SCFc6,18-07-2000,18940,19090,18940,19080,960,4090,19040,19040,
SCFc6,19-07-2000,19040,19090,19040,19090,632,4396,19080,19080,
SCFc6,20-07-2000,19040,19050,19020,19040,330,4386,19030,19030,
SCFc6,21-07-2000,19150,19150,19110,19130,368,4482,19130,19130,
SCFc6,24-07-2000,19350,19370,19320,19350,2978,6362,19340,19340,
SCFc6,25-07-2000,19350,19350,19300,19350,716,6504,19330,19330,
SCFc6,26-07-2000,19380,19460,19360,19440,1006,6678,19380,19380,
SCFc6,27-07-2000,19340,19350,19300,19330,2434,8034,19320,19320,
SCFc6,28-07-2000,19500,19540,19470,19470,2810,8712,19500,19500,
SCFc6,31-07-2000,19450,19450,19370,19380,2264,8830,19380,19380,
SCFc6,01-08-2000,19440,19440,19350,19360,1652,8814,19370,19370,
SCFc6,02-08-2000,19400,19430,19380,19400,2284,9934,19410,19410,
SCFc6,03-08-2000,19320,19340,19290,19300,3248,10814,19310,19310,
SCFc6,04-08-2000,19330,19350,19270,19280,1846,11202,19300,19300,
SCFc6,07-08-2000,19340,19350,19320,19340,1432,11840,19340,19340,
SCFc6,08-08-2000,19320,19320,19280,19300,1102,12410,19290,19290,
SCFc6,09-08-2000,19240,19260,19210,19250,2360,12822,19240,19240,
SCFc6,10-08-2000,19400,19400,19310,19340,2442,13014,19320,19320,
SCFc6,11-08-2000,19260,19340,19250,19320,3294,14328,19300,19300,
SCFc6,14-08-2000,19300,19360,19300,19350,3920,16194,19338,19338,
SCFc6,15-08-2000,19420,19430,19390,19430,4276,17682,19410,19410,
SCFc6,16-08-2000,19590,19590,19590,19590,220,2402,19590,19590,
SCFc6,17-08-2000,19540,19560,19540,19550,372,2578,19550,19550,
SCFc6,18-08-2000,19590,19620,19590,19600,1068,3506,19600,19600,
SCFc6,21-08-2000,19560,19560,19530,19550,586,4012,19540,19540,
SCFc6,22-08-2000,19410,19420,19360,19400,1078,4658,19400,19400,
SCFc6,23-08-2000,19450,19460,19400,19400,500,4652,19450,19450,
SCFc6,24-08-2000,19370,19400,19340,19350,924,4880,19370,19370,
SCFc6,25-08-2000,19420,19440,19400,19420,228,4896,19420,19420,
SCFc6,28-08-2000,19390,19500,19390,19490,224,4896,19470,19470,
SCFc6,29-08-2000,19430,19490,19430,19490,120,4926,19460,19460,
SCFc6,30-08-2000,19800,19880,19800,19870,5096,8058,19840,19840,
SCFc6,31-08-2000,19900,19900,19820,19820,3066,9874,19850,19850,
SCFc6,01-09-2000,19860,19900,19860,19880,1540,10816,19870,19870,
SCFc6,04-09-2000,19900,19910,19850,19910,1488,10908,19880,19880,
SCFc6,05-09-2000,20040,20100,20000,20090,4490,12772,20030,20030,
SCFc6,06-09-2000,20120,20120,19990,19990,5594,13544,20010,20010,
SCFc6,07-09-2000,19990,20000,19930,19940,2912,13546,19940,19940,
SCFc6,08-09-2000,19970,19970,19920,19920,2032,13940,19940,19940,
SCFc6,11-09-2000,20060,20060,19950,19950,3384,14546,19970,19970,
SCFc6,12-09-2000,19970,20020,19950,20010,2546,15102,19990,19990,
