RIC,Trade Date,Open,High,Low,Last,Volume,Open Interest,Settlement Price,Universal Close Price,Expiration Date
CMCUZ7-3,11-05-2010,,,,,,,,810,
CMCUZ7-3,12-05-2010,,,,,,,,830,
CMCUZ7-3,13-05-2010,,,,,,,,893,
CMCUZ7-3,14-05-2010,,,,,,,,824,
CMCUZ7-3,17-05-2010,,,,,,,,692,
CMCUZ7-3,18-05-2010,,,,,,,,763,
CMCUZ7-3,19-05-2010,,,,,,,,713,
CMCUZ7-3,20-05-2010,,,,,,,,815,
CMCUZ7-3,21-05-2010,,,,,,,,953,
CMCUZ7-3,24-05-2010,,,,,,,,920,
CMCUZ7-3,25-05-2010,,,,,,,,897,
CMCUZ7-3,26-05-2010,,,,,,,,936,
CMCUZ7-3,27-05-2010,,,,,,,,995,
CMCUZ7-3,28-05-2010,,,,,,,,986,
CMCUZ7-3,01-06-2010,,,,,,,,975,
CMCUZ7-3,02-06-2010,,,,,,,,915,
CMCUZ7-3,03-06-2010,,,,,,,,825,
CMCUZ7-3,04-06-2010,,,,,,,,703.75,
CMCUZ7-3,07-06-2010,,,,,,,,658.5,
CMCUZ7-3,08-06-2010,,,,,,,,693,
CMCUZ7-3,09-06-2010,,,,,,,,723,
CMCUZ7-3,10-06-2010,,,,,,,,728,
CMCUZ7-3,11-06-2010,,,,,,,,805,
CMCUZ7-3,14-06-2010,,,,,,,,895,
CMCUZ7-3,15-06-2010,,,,,,,,880,
CMCUZ7-3,16-06-2010,,,,,,,,873,
CMCUZ7-3,17-06-2010,,,,,,,,822,
CMCUZ7-3,18-06-2010,,,,,,,,810,
CMCUZ7-3,21-06-2010,,,,,,,,824.25,
CMCUZ7-3,22-06-2010,,,,,,,,851,
CMCUZ7-3,23-06-2010,,,,,,,,835,
CMCUZ7-3,24-06-2010,,,,,,,,942,
CMCUZ7-3,25-06-2010,,,,,,,,1020,
CMCUZ7-3,28-06-2010,,,,,,,,1020,
CMCUZ7-3,29-06-2010,,,,,,,,915,
CMCUZ7-3,30-06-2010,,,,,,,,925,
CMCUZ7-3,01-07-2010,,,,,,,,885.5,
CMCUZ7-3,02-07-2010,,,,,,,,885.5,
CMCUZ7-3,05-07-2010,,,,,,,,878,
CMCUZ7-3,06-07-2010,,,,,,,,945,
CMCUZ7-3,07-07-2010,,,,,,,,982,
CMCUZ7-3,08-07-2010,,,,,,,,1028.5,
CMCUZ7-3,09-07-2010,,,,,,,,1102.5,
CMCUZ7-3,12-07-2010,,,,,,,,1022.5,
CMCUZ7-3,13-07-2010,,,,,,,,1039.5,
CMCUZ7-3,14-07-2010,,,,,,,,1086,
CMCUZ7-3,15-07-2010,,,,,,,,1091,
CMCUZ7-3,16-07-2010,,,,,,,,1053,
CMCUZ7-3,19-07-2010,,,,,,,,1048,
CMCUZ7-3,20-07-2010,,,,,,,,1071,
CMCUZ7-3,21-07-2010,,,,,,,,1140,
CMCUZ7-3,22-07-2010,,,,,,,,1160,
CMCUZ7-3,23-07-2010,,,,,,,,1127,
CMCUZ7-3,26-07-2010,,,,,,,,1150.5,
CMCUZ7-3,27-07-2010,,,,,,,,1125,
CMCUZ7-3,28-07-2010,,,,,,,,1140,
CMCUZ7-3,29-07-2010,,,,,,,,1154.5,
CMCUZ7-3,30-07-2010,,,,,,,,1173,
CMCUZ7-3,02-08-2010,,,,,,,,1210,
CMCUZ7-3,03-08-2010,,,,,,,,1180,
CMCUZ7-3,04-08-2010,,,,,,,,1185,
CMCUZ7-3,05-08-2010,,,,,,,,1154,
CMCUZ7-3,06-08-2010,,,,,,,,1133,
CMCUZ7-3,09-08-2010,,,,,,,,1100,
CMCUZ7-3,10-08-2010,,,,,,,,1064,
CMCUZ7-3,11-08-2010,,,,,,,,1006,
CMCUZ7-3,12-08-2010,,,,,,,,1020,
CMCUZ7-3,13-08-2010,,,,,,,,999.5,
CMCUZ7-3,16-08-2010,,,,,,,,1020,
CMCUZ7-3,17-08-2010,,,,,,,,1323.5,
CMCUZ7-3,18-08-2010,,,,,,,,1317,
CMCUZ7-3,19-08-2010,,,,,,,,1322,
CMCUZ7-3,20-08-2010,,,,,,,,1396,
CMCUZ7-3,23-08-2010,,,,,,,,1374,
CMCUZ7-3,24-08-2010,,,,,,,,1346,
CMCUZ7-3,25-08-2010,,,,,,,,1362,
CMCUZ7-3,26-08-2010,,,,,,,,1392,
CMCUZ7-3,27-08-2010,,,,,,,,1471.75,
CMCUZ7-3,31-08-2010,,,,,,,,1457,
CMCUZ7-3,01-09-2010,,,,,,,,1477,
CMCUZ7-3,02-09-2010,,,,,,,,1451,
CMCUZ7-3,03-09-2010,,,,,,,,1435,
CMCUZ7-3,06-09-2010,,,,,,,,1444,
CMCUZ7-3,07-09-2010,,,,,,,,1482,
CMCUZ7-3,08-09-2010,,,,,,,,1551.75,
CMCUZ7-3,09-09-2010,,,,,,,,1547,
CMCUZ7-3,10-09-2010,,,,,,,,1487,
CMCUZ7-3,13-09-2010,,,,,,,,1542,
