RIC,Trade Date,Open,High,Low,Last,Volume,Open Interest,Settlement Price,Universal Close Price,Expiration Date
SCFF0,21-09-1999,18110,18330,18050,18320,9558,32762,18179,18179,
SCFF0,22-09-1999,18290,18360,18190,18220,8934,29962,18277,18277,
SCFF0,23-09-1999,18010,18100,18000,18060,5934,28046,18047,18047,
SCFF0,24-09-1999,17860,17970,17820,17950,7424,25064,17900,17900,
SCFF0,27-09-1999,17810,17820,17760,17810,5606,23274,17790,17790,
SCFF0,28-09-1999,17680,17930,17650,17890,2332,22606,17810,17810,
SCFF0,29-09-1999,18150,18150,18060,18070,4926,20370,18098,18098,
SCFF0,30-09-1999,17980,18110,17970,18060,3514,19166,18051,18051,
SCFF0,08-10-1999,17910,18010,17900,17960,1238,19160,17970,17970,
SCFF0,11-10-1999,17450,17450,17430,17430,322,18934,17430,17430,
SCFF0,12-10-1999,17380,17440,17150,17380,5032,17654,17360,17360,
SCFF0,13-10-1999,17560,17600,17420,17430,2478,16432,17500,17500,
SCFF0,14-10-1999,17500,17580,17490,17520,1880,16406,17544,17544,
SCFF0,15-10-1999,17490,17560,17490,17510,556,16230,17510,17510,
SCFF0,18-10-1999,17580,17630,17580,17600,862,15862,17602,17602,
SCFF0,19-10-1999,17740,17870,17740,17850,1572,15132,17807,17807,
SCFF0,20-10-1999,17780,17830,17760,17770,794,14956,17790,17790,
SCFF0,21-10-1999,18060,18080,18010,18030,2472,14386,18040,18040,
SCFF0,22-10-1999,18020,18050,17980,18040,852,14160,18023,18023,
SCFF0,25-10-1999,18100,18110,18010,18010,1034,14062,18040,18040,
SCFF0,26-10-1999,17910,17920,17680,17680,2126,13810,17780,17780,
SCFF0,27-10-1999,17700,17770,17570,17600,1200,13360,17650,17650,
SCFF0,28-10-1999,17680,17740,17650,17660,434,13302,17680,17680,
SCFF0,29-10-1999,17800,17890,17780,17880,900,13282,17846,17846,
SCFF0,01-11-1999,17810,17840,17800,17810,502,13354,17817,17817,
SCFF0,02-11-1999,17780,17840,17660,17820,618,13528,17762,17762,
SCFF0,03-11-1999,18020,18040,18000,18010,2604,13768,18016,18016,
SCFF0,04-11-1999,17860,17930,17840,17930,444,13598,17878,17878,
SCFF0,05-11-1999,17820,17820,17680,17700,1320,13516,17736,17736,
SCFF0,08-11-1999,17510,17710,17510,17670,464,13486,17683,17683,
SCFF0,09-11-1999,17630,17760,17630,17760,668,13540,17666,17666,
SCFF0,10-11-1999,17870,17880,17790,17880,812,13410,17845,17845,
SCFF0,11-11-1999,17580,17580,17470,17480,1198,13070,17518,17518,
SCFF0,12-11-1999,17470,17520,17460,17490,1308,12712,17492,17492,
SCFF0,15-11-1999,17400,17500,17400,17490,972,12334,17456,17456,
SCFF0,16-11-1999,17640,17640,17560,17560,466,12200,17577,17577,
SCFF0,17-11-1999,17540,17580,17410,17450,648,12012,17497,17497,
SCFF0,18-11-1999,17480,17550,17480,17500,878,11668,17518,17518,
SCFF0,19-11-1999,17420,17460,17410,17460,336,11792,17443,17443,
SCFF0,22-11-1999,17550,17570,17520,17540,1444,12476,17543,17543,
SCFF0,23-11-1999,17550,17560,17520,17520,322,12278,17545,17545,
SCFF0,24-11-1999,17500,17510,17490,17510,664,12300,17502,17502,
SCFF0,25-11-1999,17620,17680,17600,17680,862,12668,17628,17628,
SCFF0,26-11-1999,17750,17760,17700,17740,1314,12562,17745,17745,
SCFF0,29-11-1999,17800,17840,17800,17800,1270,13160,17819,17819,
SCFF0,30-11-1999,17680,17700,17670,17690,530,13028,17680,17680,
SCFF0,01-12-1999,17810,17810,17750,17770,1268,12994,17781,17781,
SCFF0,02-12-1999,17560,17560,17470,17540,908,12800,17524,17524,
SCFF0,03-12-1999,17650,17650,17590,17620,672,12304,17602,17602,
SCFF0,06-12-1999,17800,17810,17760,17790,1040,12296,17790,17790,
SCFF0,07-12-1999,17720,17780,17720,17780,158,12262,17763,17763,
SCFF0,08-12-1999,17670,17740,17670,17730,318,12068,17716,17716,
SCFF0,09-12-1999,17660,17680,17650,17660,292,11942,17664,17664,
SCFF0,10-12-1999,17790,17790,17680,17680,232,11812,17708,17708,
SCFF0,13-12-1999,17590,17630,17590,17600,926,11998,17612,17612,
SCFF0,14-12-1999,17650,17670,17640,17650,454,12096,17656,17656,
SCFF0,15-12-1999,17680,17700,17650,17650,1552,12304,17684,17684,
SCFF0,16-12-1999,18050,18050,17980,18010,2874,12512,18008,18008,
SCFF0,17-12-1999,18060,18060,17950,17990,1166,12428,17997,17997,
SCFF0,21-12-1999,18030,18090,18030,18050,1500,12020,18065,18065,
SCFF0,22-12-1999,18020,18020,17990,18020,266,11884,18007,18007,
SCFF0,23-12-1999,18150,18150,18090,18140,1534,11864,18131,18131,
SCFF0,24-12-1999,18120,18130,18110,18130,950,11674,18120,18120,
SCFF0,27-12-1999,18190,18190,18150,18160,428,11794,18158,18158,
SCFF0,28-12-1999,18120,18130,18110,18130,798,11648,18115,18115,
SCFF0,29-12-1999,18130,18180,18130,18170,968,11680,18155,18155,
SCFF0,30-12-1999,18210,18280,18210,18250,1228,11508,18230,18230,
SCFF0,04-01-2000,18280,18330,18280,18310,1190,11160,18308,18308,
SCFF0,05-01-2000,18200,18200,18100,18130,1238,11004,18160,18160,
SCFF0,06-01-2000,18200,18240,18200,18220,250,10992,18224,18224,
SCFF0,07-01-2000,18200,18290,18200,18290,484,10944,18236,18236,
SCFF0,11-01-2000,18200,18220,18180,18220,1322,10830,18204,18204,
SCFF0,12-01-2000,18220,18240,18200,18200,1242,10316,18226,18226,
SCFF0,13-01-2000,18350,18390,18350,18360,1182,10794,18360,18360,
SCFF0,14-01-2000,18260,18450,18260,18440,1010,10772,18382,18382,
SCFF1,18-01-2000,18480,18590,18300,18300,1786,10000,18540,18540,
SCFF1,19-01-2000,,,,,0,10000,,,
SCFF1,20-01-2000,,,,,0,10000,,,
SCFF1,21-01-2000,,,,,0,10000,,,
SCFF1,24-01-2000,,,,,0,10000,,,
SCFF1,25-01-2000,,,,,0,10000,,,
SCFF1,26-01-2000,,,,,0,10000,,,
SCFF1,27-01-2000,,,,,0,10000,,,
SCFF1,28-01-2000,,,,,0,10000,,,
SCFF1,31-01-2000,,,,,0,10000,,,
SCFF1,01-02-2000,,,,,0,10000,,,
SCFF1,02-02-2000,,,,,0,10000,,,
SCFF1,14-02-2000,,,,,0,10000,,,
SCFF1,15-02-2000,,,,,0,10000,,,
SCFF1,16-02-2000,,,,,0,10000,,,
SCFF1,17-02-2000,,,,,0,10000,,,
SCFF1,18-02-2000,,,,,0,10000,,,
SCFF1,21-02-2000,,,,,0,10000,,,
SCFF1,22-02-2000,,,,,0,10000,,,
